ID_Vendita,Nome_Produttore,Cognome_Produttore,Tipo_Prodotto,Nome_Prodotto,Quantita,unita_misura,Prezzo_Totale,Data_Ora,Nome_cliente,Cognome_cliente,Genere,Data_Nascita
392,Tara,Morey,"Derivato Animale","Carne lavorata",3.85,Kg,25.99,"2025-02-26 17:08:13",Cinderella,Caffin,"Preferisco non specificare",1982-01-06
528,Tara,Morey,"Derivato Animale","Carne lavorata",3.13,Kg,21.13,"2023-12-31 10:00:31",Tamar,Colthard,"Preferisco non specificare",NULL
828,Tara,Morey,"Derivato Animale","Carne lavorata",3.13,Kg,21.13,"2023-12-31 10:00:31",Tamar,Colthard,"Preferisco non specificare",NULL
1192,Tara,Morey,"Derivato Animale","Carne lavorata",185.85,Kg,889.39,"2025-05-04 16:20:03",Ned,Spry,"Preferisco non specificare",1975-08-29
319,Tara,Morey,"Derivato Animale",Salsiccia,1.00,Kg,11.32,"2024-08-15 10:46:24",Fee,Tabary,F,NULL
340,Tara,Morey,"Derivato Animale",Hamburger,2.00,Pezzi,21.42,"2024-11-09 11:50:11",Damiano,Sharratt,NULL,NULL
1187,Tara,Morey,"Derivato Animale",Hamburger,6.00,Pezzi,110.86,"2025-09-07 11:18:37",Izak,Targe,"Preferisco non specificare",1981-11-03
103,Tara,Morey,"Derivato Animale","Siero di latte",2.49,L,46.16,"2023-12-25 13:50:55",Thedrick,Cubbon,"Preferisco non specificare",1961-08-24
263,Tara,Morey,"Derivato Animale","Siero di latte",2.95,L,54.69,"2023-05-03 08:03:26",Gwenore,Haslock(e),NULL,NULL
503,Tara,Morey,"Derivato Animale","Siero di latte",2.49,L,46.16,"2023-12-25 13:50:55",Thedrick,Cubbon,"Preferisco non specificare",1961-08-24
663,Tara,Morey,"Derivato Animale","Siero di latte",2.95,L,54.69,"2023-05-03 08:03:26",Gwenore,Haslock(e),NULL,NULL
803,Tara,Morey,"Derivato Animale","Siero di latte",2.49,L,46.16,"2023-12-25 13:50:55",Thedrick,Cubbon,"Preferisco non specificare",1961-08-24
963,Tara,Morey,"Derivato Animale","Siero di latte",2.95,L,54.69,"2023-05-03 08:03:26",Gwenore,Haslock(e),NULL,NULL
348,Tara,Morey,"Derivato Animale","Gelato al latte",1.43,L,25.74,"2025-08-18 11:58:15",Maximo,Gannaway,M,NULL
1071,Tara,Morey,"Derivato Animale","Gelato al latte",3.49,L,66.66,"2024-06-23 19:46:07",Lyon,Arrault,M,NULL
13,Tara,Morey,Agricolo,"Pasta ripiena vegetale",1.91,Kg,22.92,"2025-12-10 08:46:10",Karina,Fawlks,"Preferisco non specificare",2002-09-15
413,Tara,Morey,Agricolo,"Pasta ripiena vegetale",1.91,Kg,22.92,"2025-12-10 08:46:10",Karina,Fawlks,"Preferisco non specificare",2002-09-15
713,Tara,Morey,Agricolo,"Pasta ripiena vegetale",1.91,Kg,22.92,"2025-12-10 08:46:10",Karina,Fawlks,"Preferisco non specificare",2002-09-15
1181,Tara,Morey,Agricolo,"Pasta ripiena vegetale",9.74,Kg,38.65,"2024-01-20 15:19:43",Dorita,Nowak,Altro,1993-06-28
239,Tara,Morey,Agricolo,"Vino rosato",4.00,L,61.76,"2025-07-13 19:03:13",Starla,Sommerland,F,1957-03-07
256,Tara,Morey,Agricolo,"Vino rosato",4.50,L,69.48,"2023-07-23 17:57:33",Eldridge,Potter,M,1984-04-15
639,Tara,Morey,Agricolo,"Vino rosato",4.00,L,61.76,"2025-07-13 19:03:13",Starla,Sommerland,F,1957-03-07
656,Tara,Morey,Agricolo,"Vino rosato",4.50,L,69.48,"2023-07-23 17:57:33",Eldridge,Potter,M,1984-04-15
939,Tara,Morey,Agricolo,"Vino rosato",4.00,L,61.76,"2025-07-13 11:03:13",Starla,Sommerland,F,1957-03-07
956,Tara,Morey,Agricolo,"Vino rosato",4.50,L,69.48,"2023-07-23 17:57:33",Eldridge,Potter,M,1984-04-15
12,Tara,Morey,Agricolo,"Vino con spezie",4.97,L,74.55,"2025-12-10 08:46:10",Karina,Fawlks,"Preferisco non specificare",2002-09-15
390,Tara,Morey,Agricolo,"Vino con spezie",1.81,L,27.15,"2024-12-01 08:15:46",Eryn,Sherrocks,F,1961-05-19
412,Tara,Morey,Agricolo,"Vino con spezie",4.97,L,74.55,"2025-12-10 08:46:10",Karina,Fawlks,"Preferisco non specificare",2002-09-15
712,Tara,Morey,Agricolo,"Vino con spezie",4.97,L,74.55,"2025-12-10 08:46:10",Karina,Fawlks,"Preferisco non specificare",2002-09-15
91,Tara,Morey,Agricolo,"Salsa piccante",2.00,L,59.46,"2024-10-25 19:30:07",Gav,Fuxman,M,1991-10-21
491,Tara,Morey,Agricolo,"Salsa piccante",2.00,L,59.46,"2024-10-25 19:30:07",Gav,Fuxman,M,1991-10-21
791,Tara,Morey,Agricolo,"Salsa piccante",2.00,L,59.46,"2024-10-25 19:30:07",Gav,Fuxman,M,1991-10-21
59,Tara,Morey,Agricolo,Mele,2.00,Pezzi,40.18,"2025-05-17 09:17:27",Shandie,Llewellyn,Altro,1990-11-26
68,Tara,Morey,Agricolo,Mele,9.00,Pezzi,180.81,"2025-12-18 18:53:25",Lawrence,Smetoun,"Preferisco non specificare",1971-09-27
86,Tara,Morey,Agricolo,Mele,10.00,Pezzi,200.90,"2023-02-13 16:09:49",Wittie,Mille,"Preferisco non specificare",2006-12-04
189,Tara,Morey,Agricolo,Mele,10.00,Pezzi,200.90,"2025-09-22 17:40:21",Claiborn,Raymen,M,1988-10-19
272,Tara,Morey,Agricolo,Mele,1.00,Pezzi,20.09,"2024-07-21 12:11:30",Antone,Ingman,Altro,1949-08-22
459,Tara,Morey,Agricolo,Mele,2.00,Pezzi,40.18,"2025-05-17 09:17:27",Shandie,Llewellyn,Altro,1990-11-26
468,Tara,Morey,Agricolo,Mele,9.00,Pezzi,180.81,"2025-12-18 18:53:25",Lawrence,Smetoun,"Preferisco non specificare",1971-09-27
486,Tara,Morey,Agricolo,Mele,10.00,Pezzi,200.90,"2023-02-13 13:09:49",Wittie,Mille,"Preferisco non specificare",2006-12-04
589,Tara,Morey,Agricolo,Mele,10.00,Pezzi,200.90,"2025-09-22 17:40:21",Claiborn,Raymen,M,1988-10-19
672,Tara,Morey,Agricolo,Mele,1.00,Pezzi,20.09,"2024-07-21 17:11:30",Antone,Ingman,Altro,1949-08-22
759,Tara,Morey,Agricolo,Mele,2.00,Pezzi,40.18,"2025-05-17 16:17:27",Shandie,Llewellyn,Altro,1990-11-26
768,Tara,Morey,Agricolo,Mele,9.00,Pezzi,180.81,"2025-12-18 18:53:25",Lawrence,Smetoun,"Preferisco non specificare",1971-09-27
786,Tara,Morey,Agricolo,Mele,10.00,Pezzi,200.90,"2023-02-13 11:09:49",Wittie,Mille,"Preferisco non specificare",2006-12-04
889,Tara,Morey,Agricolo,Mele,10.00,Pezzi,200.90,"2025-09-22 17:40:21",Claiborn,Raymen,M,1988-10-19
972,Tara,Morey,Agricolo,Mele,1.00,Pezzi,20.09,"2024-07-21 12:11:30",Antone,Ingman,Altro,1949-08-22
1005,Rhody,Joutapavicius,"Derivato Animale","Latte pastorizzato",0.66,L,16.55,"2025-07-03 14:54:58",Juliann,Pellett,F,1970-12-06
78,Rhody,Joutapavicius,Agricolo,"Burro chiarificato",2.31,Kg,15.96,"2025-12-22 09:00:47",Elena,Aubry,F,1944-07-27
181,Rhody,Joutapavicius,Agricolo,"Burro chiarificato",1.88,Kg,12.99,"2025-11-24 17:12:25",Hogan,Roscrigg,M,1961-09-09
478,Rhody,Joutapavicius,Agricolo,"Burro chiarificato",2.31,Kg,15.96,"2025-12-22 15:00:47",Elena,Aubry,F,1944-07-27
581,Rhody,Joutapavicius,Agricolo,"Burro chiarificato",1.88,Kg,12.99,"2025-11-24 17:12:25",Hogan,Roscrigg,M,1961-09-09
778,Rhody,Joutapavicius,Agricolo,"Burro chiarificato",2.31,Kg,15.96,"2025-12-22 15:00:47",Elena,Aubry,F,1944-07-27
881,Rhody,Joutapavicius,Agricolo,"Burro chiarificato",1.88,Kg,12.99,"2025-11-24 17:12:25",Hogan,Roscrigg,M,1961-09-09
1135,Rhody,Joutapavicius,Agricolo,"Burro chiarificato",5.04,Kg,8.34,"2026-02-04 15:49:19",Vicki,Adlam,F,1969-10-22
1070,Rhody,Joutapavicius,"Derivato Animale","Formaggio spalmabile",0.83,Kg,7.09,"2026-04-03 14:20:16",Gabriel,Draycott,M,1973-08-20
220,Rhody,Joutapavicius,"Derivato Animale","Uova fresche",4.00,Pezzi,17.00,"2024-03-30 12:48:08",Muire,Raoux,NULL,1943-04-24
242,Rhody,Joutapavicius,"Derivato Animale","Uova fresche",3.00,Pezzi,12.75,"2025-07-13 19:03:13",Starla,Sommerland,F,1957-03-07
620,Rhody,Joutapavicius,"Derivato Animale","Uova fresche",4.00,Pezzi,17.00,"2024-03-30 12:48:08",Muire,Raoux,NULL,1943-04-24
642,Rhody,Joutapavicius,"Derivato Animale","Uova fresche",3.00,Pezzi,12.75,"2025-07-13 19:03:13",Starla,Sommerland,F,1957-03-07
920,Rhody,Joutapavicius,"Derivato Animale","Uova fresche",4.00,Pezzi,17.00,"2024-03-30 12:48:08",Muire,Raoux,NULL,1943-04-24
942,Rhody,Joutapavicius,"Derivato Animale","Uova fresche",3.00,Pezzi,12.75,"2025-07-13 11:03:13",Starla,Sommerland,F,1957-03-07
1065,Rhody,Joutapavicius,"Derivato Animale","Uova fresche",9.00,Pezzi,128.85,"2023-02-21 08:06:37",Harlene,Cartlidge,F,1941-03-25
226,Rhody,Joutapavicius,"Derivato Animale",Salsiccia,3.00,Kg,33.96,"2024-04-12 11:16:15",Cinderella,Caffin,"Preferisco non specificare",1982-01-06
247,Rhody,Joutapavicius,"Derivato Animale",Salsiccia,1.96,Kg,22.19,"2026-04-27 11:35:49",Kenna,Rioch,F,1950-07-10
626,Rhody,Joutapavicius,"Derivato Animale",Salsiccia,3.00,Kg,33.96,"2024-04-12 11:16:15",Cinderella,Caffin,"Preferisco non specificare",1982-01-06
647,Rhody,Joutapavicius,"Derivato Animale",Salsiccia,1.96,Kg,22.19,"2026-04-27 11:35:49",Kenna,Rioch,F,1950-07-10
926,Rhody,Joutapavicius,"Derivato Animale",Salsiccia,3.00,Kg,33.96,"2024-04-12 11:16:15",Cinderella,Caffin,"Preferisco non specificare",1982-01-06
947,Rhody,Joutapavicius,"Derivato Animale",Salsiccia,1.96,Kg,22.19,"2026-04-27 11:35:49",Kenna,Rioch,F,1950-07-10
1148,Rhody,Joutapavicius,"Derivato Animale","Dessert latte e cereali",7.00,Pezzi,67.68,"2023-05-15 14:26:12",Upton,Beggi,M,1944-08-16
1157,Rhody,Joutapavicius,"Derivato Animale","Dessert latte e cereali",2.00,Pezzi,8.86,"2023-04-07 12:56:05",Buddie,Redwood,"Preferisco non specificare",NULL
36,Rhody,Joutapavicius,Agricolo,Grano,1.91,Kg,15.66,"2024-01-06 15:03:07",Paco,Keighly,NULL,1942-02-05
271,Rhody,Joutapavicius,Agricolo,Grano,1.99,Kg,16.32,"2024-07-21 12:11:30",Antone,Ingman,Altro,1949-08-22
339,Rhody,Joutapavicius,Agricolo,Grano,2.00,Kg,16.40,"2023-07-18 16:45:20",Chalmers,Tooze,M,1997-09-27
366,Rhody,Joutapavicius,Agricolo,Grano,1.36,Kg,11.15,"2023-02-17 09:42:10",Karil,Yushankin,F,NULL
436,Rhody,Joutapavicius,Agricolo,Grano,1.91,Kg,15.66,"2024-01-06 15:03:07",Paco,Keighly,NULL,1942-02-05
671,Rhody,Joutapavicius,Agricolo,Grano,1.99,Kg,16.32,"2024-07-21 17:11:30",Antone,Ingman,Altro,1949-08-22
736,Rhody,Joutapavicius,Agricolo,Grano,1.91,Kg,15.66,"2024-01-06 15:03:07",Paco,Keighly,NULL,1942-02-05
971,Rhody,Joutapavicius,Agricolo,Grano,1.99,Kg,16.32,"2024-07-21 12:11:30",Antone,Ingman,Altro,1949-08-22
393,Rhody,Joutapavicius,Agricolo,Pane,2.00,Pezzi,45.44,"2025-02-26 17:08:13",Cinderella,Caffin,"Preferisco non specificare",1982-01-06
157,Rhody,Joutapavicius,Agricolo,Biscotti,2.00,Pezzi,7.70,"2024-09-15 12:10:39",Gav,Fuxman,M,1991-10-21
557,Rhody,Joutapavicius,Agricolo,Biscotti,2.00,Pezzi,7.70,"2024-09-15 12:10:39",Gav,Fuxman,M,1991-10-21
857,Rhody,Joutapavicius,Agricolo,Biscotti,2.00,Pezzi,7.70,"2024-09-15 12:10:39",Gav,Fuxman,M,1991-10-21
1017,Rhody,Joutapavicius,Agricolo,"Dolci da forno",7.00,Pezzi,51.07,"2023-03-02 15:47:06",Liesa,Lamming,F,1992-09-13
162,Rhody,Joutapavicius,Agricolo,"Olio extravergine",3.00,L,40.05,"2023-04-06 18:57:31",Delia,Hirjak,Altro,1995-09-21
562,Rhody,Joutapavicius,Agricolo,"Olio extravergine",3.00,L,40.05,"2023-04-06 19:57:31",Delia,Hirjak,Altro,1995-09-21
862,Rhody,Joutapavicius,Agricolo,"Olio extravergine",3.00,L,40.05,"2023-04-06 11:57:31",Delia,Hirjak,Altro,1995-09-21
114,Rhody,Joutapavicius,Agricolo,"Confettura con spezie",2.28,Kg,18.24,"2026-02-19 13:13:20",Marian,Niemetz,NULL,1981-07-21
306,Rhody,Joutapavicius,Agricolo,"Confettura con spezie",2.54,Kg,20.32,"2024-07-14 15:08:07",Elena,Aubry,F,1944-07-27
514,Rhody,Joutapavicius,Agricolo,"Confettura con spezie",2.28,Kg,18.24,"2026-02-19 14:13:20",Marian,Niemetz,NULL,1981-07-21
814,Rhody,Joutapavicius,Agricolo,"Confettura con spezie",2.28,Kg,18.24,"2026-02-19 14:13:20",Marian,Niemetz,NULL,1981-07-21
158,Rhody,Joutapavicius,"Derivato Animale","Verdure grigliate",2.67,Kg,27.79,"2025-09-14 09:32:37",Andriette,Cardero,NULL,1964-08-10
558,Rhody,Joutapavicius,"Derivato Animale","Verdure grigliate",2.67,Kg,27.79,"2025-09-14 09:32:37",Andriette,Cardero,NULL,1964-08-10
858,Rhody,Joutapavicius,"Derivato Animale","Verdure grigliate",2.67,Kg,27.79,"2025-09-14 09:32:37",Andriette,Cardero,NULL,1964-08-10
66,Rhody,Joutapavicius,Agricolo,Mele,4.00,Pezzi,80.36,"2025-12-18 18:53:25",Lawrence,Smetoun,"Preferisco non specificare",1971-09-27
466,Rhody,Joutapavicius,Agricolo,Mele,4.00,Pezzi,80.36,"2025-12-18 18:53:25",Lawrence,Smetoun,"Preferisco non specificare",1971-09-27
766,Rhody,Joutapavicius,Agricolo,Mele,4.00,Pezzi,80.36,"2025-12-18 18:53:25",Lawrence,Smetoun,"Preferisco non specificare",1971-09-27
1167,Rhody,Joutapavicius,Agricolo,Mele,1.00,Pezzi,8.03,"2023-11-10 11:17:03",Kissee,Meineck,Altro,1942-11-03
262,Rhody,Joutapavicius,Agricolo,Fragole,5.00,Pezzi,71.55,"2023-05-03 08:03:26",Gwenore,Haslock(e),NULL,NULL
662,Rhody,Joutapavicius,Agricolo,Fragole,5.00,Pezzi,71.55,"2023-05-03 08:03:26",Gwenore,Haslock(e),NULL,NULL
962,Rhody,Joutapavicius,Agricolo,Fragole,5.00,Pezzi,71.55,"2023-05-03 08:03:26",Gwenore,Haslock(e),NULL,NULL
1118,Rhody,Joutapavicius,Agricolo,Fragole,50.07,Kg,270.67,"2025-08-13 13:23:33",Wittie,Harring,"Preferisco non specificare",1978-02-23
343,Rhody,Joutapavicius,Agricolo,Mandorle,1.00,Pezzi,10.97,"2024-08-10 11:15:31",Kenna,Rioch,F,1950-07-10
1102,Rhody,Joutapavicius,Agricolo,Mandorle,3.73,Kg,28.77,"2024-11-27 17:18:32",Theressa,Demare,M,1997-06-30
216,Lesya,Stuckley,"Derivato Animale","Ricotta fresca",2.24,Kg,22.42,"2024-08-03 16:31:41",Allissa,Dassindale,F,1961-12-06
276,Lesya,Stuckley,"Derivato Animale","Ricotta fresca",4.99,Kg,49.95,"2024-07-21 16:16:06",Graehme,Benjamin,M,1973-02-16
616,Lesya,Stuckley,"Derivato Animale","Ricotta fresca",2.24,Kg,22.42,"2024-08-03 16:31:41",Allissa,Dassindale,F,1961-12-06
676,Lesya,Stuckley,"Derivato Animale","Ricotta fresca",4.99,Kg,49.95,"2024-07-21 16:16:06",Graehme,Benjamin,M,1973-02-16
916,Lesya,Stuckley,"Derivato Animale","Ricotta fresca",2.24,Kg,22.42,"2024-08-03 16:31:41",Allissa,Dassindale,F,1961-12-06
976,Lesya,Stuckley,"Derivato Animale","Ricotta fresca",4.99,Kg,49.95,"2024-07-21 19:16:06",Graehme,Benjamin,M,1973-02-16
374,Lesya,Stuckley,"Derivato Animale","Formaggio al tartufo",1.75,Kg,61.25,"2024-09-12 13:11:56",Celestine,Capron,Altro,1987-12-31
143,Lesya,Stuckley,"Derivato Animale",Provolone,3.03,Kg,78.39,"2023-09-21 08:30:58",Antone,Ingman,Altro,1949-08-22
400,Lesya,Stuckley,"Derivato Animale",Provolone,4.00,Kg,103.48,"2025-02-04 15:10:19",Wesley,Jouaneton,NULL,1976-10-16
543,Lesya,Stuckley,"Derivato Animale",Provolone,3.03,Kg,78.39,"2023-09-21 08:30:58",Antone,Ingman,Altro,1949-08-22
843,Lesya,Stuckley,"Derivato Animale",Provolone,3.03,Kg,78.39,"2023-09-21 08:30:58",Antone,Ingman,Altro,1949-08-22
1182,Lesya,Stuckley,"Derivato Animale",Provolone,6.00,Pezzi,85.13,"2024-08-20 15:51:04",Roxana,Leeds,F,1994-10-01
26,Lesya,Stuckley,"Derivato Animale","Carne bovina",0.51,Kg,1.52,"2024-05-17 17:29:07",Lolly,Abramzon,"Preferisco non specificare",1995-06-08
371,Lesya,Stuckley,"Derivato Animale","Carne bovina",3.32,Kg,9.93,"2023-09-12 13:28:03",Willa,Kilner,Altro,1972-01-24
426,Lesya,Stuckley,"Derivato Animale","Carne bovina",0.51,Kg,1.52,"2024-05-17 17:29:07",Lolly,Abramzon,"Preferisco non specificare",1995-06-08
726,Lesya,Stuckley,"Derivato Animale","Carne bovina",0.51,Kg,1.52,"2024-05-17 17:29:07",Lolly,Abramzon,"Preferisco non specificare",1995-06-08
99,Lesya,Stuckley,"Derivato Animale","Prosciutto crudo",4.62,Kg,134.63,"2023-08-22 12:21:23",Ruddie,Butterwick,M,1969-11-09
499,Lesya,Stuckley,"Derivato Animale","Prosciutto crudo",4.62,Kg,134.63,"2023-08-22 12:21:23",Ruddie,Butterwick,M,1969-11-09
799,Lesya,Stuckley,"Derivato Animale","Prosciutto crudo",4.62,Kg,134.63,"2023-08-22 12:21:23",Ruddie,Butterwick,M,1969-11-09
1105,Lesya,Stuckley,"Derivato Animale","Prosciutto cotto",168.77,Kg,1517.17,"2024-06-16 15:57:10",Griffie,Sallings,Altro,1947-01-11
1055,Lesya,Stuckley,Agricolo,"Brodo con erbe aromatiche",3.26,L,29.12,"2023-09-24 13:39:46",Erna,Sonier,F,2001-12-14
119,Lesya,Stuckley,"Derivato Animale","Dessert latte e frutta",4.45,L,66.75,"2025-07-27 16:35:22",Bernard,Beastall,NULL,1989-06-23
519,Lesya,Stuckley,"Derivato Animale","Dessert latte e frutta",4.45,L,66.75,"2025-07-27 09:35:22",Bernard,Beastall,NULL,1989-06-23
819,Lesya,Stuckley,"Derivato Animale","Dessert latte e frutta",4.45,L,66.75,"2025-07-27 11:35:22",Bernard,Beastall,NULL,1989-06-23
147,Lesya,Stuckley,Agricolo,Pasta,3.50,Kg,65.98,"2023-04-13 09:18:59",Starla,Sommerland,F,1957-03-07
547,Lesya,Stuckley,Agricolo,Pasta,3.50,Kg,65.98,"2023-04-13 08:18:59",Starla,Sommerland,F,1957-03-07
847,Lesya,Stuckley,Agricolo,Pasta,3.50,Kg,65.98,"2023-04-13 09:18:59",Starla,Sommerland,F,1957-03-07
1184,Lesya,Stuckley,Agricolo,Pasta,2.87,Kg,26.59,"2023-11-10 09:47:03",Lyon,Arrault,M,NULL
186,Lesya,Stuckley,Agricolo,"Dolci da forno",1.00,Pezzi,26.72,"2025-01-16 11:46:39",Collin,Spenley,M,1998-06-21
586,Lesya,Stuckley,Agricolo,"Dolci da forno",1.00,Pezzi,26.72,"2025-01-16 11:46:39",Collin,Spenley,M,1998-06-21
886,Lesya,Stuckley,Agricolo,"Dolci da forno",1.00,Pezzi,26.72,"2025-01-16 11:46:39",Collin,Spenley,M,1998-06-21
94,Lesya,Stuckley,Agricolo,"Passata di pomodoro",0.31,L,3.53,"2024-05-08 12:11:32",Hogan,Roscrigg,M,1961-09-09
494,Lesya,Stuckley,Agricolo,"Passata di pomodoro",0.31,L,3.53,"2024-05-08 09:11:32",Hogan,Roscrigg,M,1961-09-09
794,Lesya,Stuckley,Agricolo,"Passata di pomodoro",0.31,L,3.53,"2024-05-08 08:11:32",Hogan,Roscrigg,M,1961-09-09
1098,Lesya,Stuckley,Agricolo,"Passata di pomodoro",4.93,L,102.88,"2023-08-03 15:57:25",Clayborn,Center,"Preferisco non specificare",NULL
1117,Lesya,Stuckley,Agricolo,"Salsa vegetale",1.08,L,22.73,"2026-02-14 09:12:45",Shelagh,Saffin,M,1955-07-28
58,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",5.00,Kg,30.00,"2024-09-20 18:37:43",Cecilius,Ogan,"Preferisco non specificare",1981-02-17
231,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",1.83,Kg,10.98,"2023-10-05 13:34:48",Antone,Ingman,Altro,1949-08-22
286,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",2.50,Kg,15.00,"2025-05-25 16:53:58",Allx,Aingel,M,1956-10-29
328,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",1.77,Kg,10.62,"2024-07-18 17:15:07",Axel,Jozsika,M,1978-06-24
458,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",5.00,Kg,30.00,"2024-09-20 19:37:43",Cecilius,Ogan,"Preferisco non specificare",1981-02-17
631,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",1.83,Kg,10.98,"2023-10-05 14:34:48",Antone,Ingman,Altro,1949-08-22
686,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",2.50,Kg,15.00,"2025-05-25 16:53:58",Allx,Aingel,M,1956-10-29
758,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",5.00,Kg,30.00,"2024-09-20 17:37:43",Cecilius,Ogan,"Preferisco non specificare",1981-02-17
931,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",1.83,Kg,10.98,"2023-10-05 13:34:48",Antone,Ingman,Altro,1949-08-22
986,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",2.50,Kg,15.00,"2025-05-25 10:53:58",Allx,Aingel,M,1956-10-29
1146,Lesya,Stuckley,Agricolo,"Insalata pronta con condimento",7.00,Pezzi,76.95,"2024-11-03 14:34:32",Dorita,Nowak,Altro,1993-06-28
135,Lesya,Stuckley,Agricolo,Patate,0.49,Kg,12.82,"2025-09-01 13:45:55",Finley,Grugerr,M,1992-08-21
535,Lesya,Stuckley,Agricolo,Patate,0.49,Kg,12.82,"2025-09-01 13:45:55",Finley,Grugerr,M,1992-08-21
835,Lesya,Stuckley,Agricolo,Patate,0.49,Kg,12.82,"2025-09-01 13:45:55",Finley,Grugerr,M,1992-08-21
7,Lesya,Stuckley,Agricolo,Carote,4.00,Kg,24.24,"2024-06-20 12:28:37",Emilie,Arton,F,NULL
35,Lesya,Stuckley,Agricolo,Carote,3.97,Kg,24.06,"2023-02-05 12:56:54",Sauncho,Dmtrovic,M,1995-02-22
204,Lesya,Stuckley,Agricolo,Carote,4.91,Kg,29.75,"2025-02-25 18:51:20",Collin,Spenley,M,1998-06-21
245,Lesya,Stuckley,Agricolo,Carote,2.28,Kg,13.82,"2025-11-23 18:08:37",Emilie,Arton,F,NULL
407,Lesya,Stuckley,Agricolo,Carote,4.00,Kg,24.24,"2024-06-20 12:28:37",Emilie,Arton,F,NULL
435,Lesya,Stuckley,Agricolo,Carote,3.97,Kg,24.06,"2023-02-05 12:56:54",Sauncho,Dmtrovic,M,1995-02-22
604,Lesya,Stuckley,Agricolo,Carote,4.91,Kg,29.75,"2025-02-25 14:51:20",Collin,Spenley,M,1998-06-21
645,Lesya,Stuckley,Agricolo,Carote,2.28,Kg,13.82,"2025-11-23 18:08:37",Emilie,Arton,F,NULL
707,Lesya,Stuckley,Agricolo,Carote,4.00,Kg,24.24,"2024-06-20 12:28:37",Emilie,Arton,F,NULL
735,Lesya,Stuckley,Agricolo,Carote,3.97,Kg,24.06,"2023-02-05 12:56:54",Sauncho,Dmtrovic,M,1995-02-22
904,Lesya,Stuckley,Agricolo,Carote,4.91,Kg,29.75,"2025-02-25 19:51:20",Collin,Spenley,M,1998-06-21
945,Lesya,Stuckley,Agricolo,Carote,2.28,Kg,13.82,"2025-11-23 18:08:37",Emilie,Arton,F,NULL
1156,Lesya,Stuckley,Agricolo,Carote,135.13,Kg,1004.08,"2024-02-21 15:18:16",Patsy,Basile,Altro,NULL
138,Lesya,Stuckley,Agricolo,"Frutta caramellata",4.32,Kg,105.80,"2025-09-02 19:49:58",Finley,Grugerr,M,1992-08-21
538,Lesya,Stuckley,Agricolo,"Frutta caramellata",4.32,Kg,105.80,"2025-09-02 19:49:58",Finley,Grugerr,M,1992-08-21
838,Lesya,Stuckley,Agricolo,"Frutta caramellata",4.32,Kg,105.80,"2025-09-02 19:49:58",Finley,Grugerr,M,1992-08-21
215,Lesya,Stuckley,Agricolo,Noci,3.40,Kg,48.52,"2025-10-12 11:48:22",Simonne,Brosi,F,1964-10-21
